Media,ag_cover,Site,Date,Weight,Sample ID,Alachlor,Anthraquinone,Atrazine,Bifenthrin,Biphenyl,Carfentrazone ethyl,Chlorobenzilate,cis-Captafol,Diazinon,Diphenylamine,DMF,Malathion,Metalaxyl,Metolachlor,o-Hydroxybiphenyl,Penconazole,Procymidone,Pyriproxyfen,Terbacil,Terbuthylazine,Tetrahydrophthalimide,Vinclozoline,Dinotefuran,Nitenpyram,Thiamethoxam,Clothianidin,Imidacloprid,Acetamiprid,Thiacloprid
FP,high,BR,429,1.99,FP 1,0.012254902,0.013,0.025,,0.05,0.1,0.025,,0.025,0.05,0.578,,,0.012,0.013,0.013,0.025,0.025,0.389,0.063,0.452,,0.04,0.561,0.202,3.823,0.148,0.091,1.004
FP,high,BR,502,1.506,FP 11,0.012254902,0.013,0.025,,0.066,0.1,0.025,,0.166,0.1,1.826,,,0.133,0.013,0.013,0.025,0.025,0.389,0.063,1.726,,0.118,0.434,3.047,4.247,2.405,0.541,0.407
FP,high,BR,505,1.51,FP 21,0.012254902,0.013,0.232,,0.033,0.1,0.025,,0.099,0.099,2.255,,,0.133,0.013,0.013,0.025,0.025,0.389,0.063,0.149,,0.04,1.307,24.049,11.804,9.692,1.536,1.809
FP,high,BR,508,2,FP 31,0.012254902,0.013,0.025,,0.025,0.1,0.025,,0.125,0.075,1.7,,,0.475,0.013,0.013,0.025,0.025,0.389,0.063,2.125,,0.04,0.434,8.169,13.628,1.733,0.116,0.294
FP,high,BR,511,1.99,FP 41,0.025125628,0.05,0.352,,0.025,0.1,0.025,,0.201,0.075,1.683,,,0.302,0.013,0.013,0.025,0.025,0.389,0.063,1.03,,0.04,0.434,11.7,14.2,4.214,0.382,1.357
FP,high,BR,514,2,FP 51,0.012254902,0.013,0.025,,0.05,0.1,0.025,,1.525,0.05,1.175,,,0.075,0.025,0.013,0.025,0.025,0.389,0.063,0.725,,0.029,0.093,0.057,0.938,2.016,0.047,0.042
FP,high,BR,519,1.5,FP 61,0.012254902,0.013,0.333,,0.033,0.1,0.025,,0.167,0.012,3.2,,,0.133,0.013,0.013,0.025,0.025,0.389,0.063,5.4,,0.642,0.061,4.153,2.285,3.067,0.926,0.304
FP,high,BR,523,1.98,FP 71,0.012254902,0.013,0.354,,0.051,0.1,0.025,,0.012,0.051,0.455,,,0.076,0.013,0.013,0.025,0.025,0.389,0.063,5.884,,0.029,0.811,0.659,0.938,3.891,0.548,0.804
FP,high,BR,527,2,FP 81,0.012254902,0.013,0.025,,0.025,0.1,0.025,,0.012,0.075,0.975,,,0.012,0.013,0.013,0.025,0.025,0.389,0.063,4.2,,0.35,0.691,2.699,0.938,1.519,0.434,0.204
DBT,high,BR,429,1.2368,DBT 1,,0.154,0.104,0.138,1.132,0.586,0.9,0.937,,0.093,178.808,0.035,0.404,0.045,0.071,0.081,0.9,0.329,3.448,,0.792,0.397,0.161,0.228,1.844,240.559,0.067,8.339,3.709
