pesticide,pest_type
Acetamiprid,neonicotinoid insecticide
Alachlor,herbicide
Anthraquinone,insecticide
Atrazine,herbicide
Bifenthrin,insecticide
Biphenyl,fungicide
Carfentrazone.ethyl,herbicide
Chlorobenzilate,acaricide
cis.Captafol,fungicide
Clothianidin,neonicotinoid insecticide
Diazinon,insecticide
Dinotefuran,neonicotinoid insecticide
Diphenylamine,fungicide
DMF,acaricide
Imidacloprid,neonicotinoid insecticide
Malathion,insecticide
Metalaxyl,fungicide
Metolachlor,herbicide
Nitenpyram,neonicotinoid insecticide
o.Hydroxybiphenyl,fungicide
Penconazole,fungicide
Procymidone,fungicide
Pyriproxyfen,insecticide
Terbacil,herbicide
Terbuthylazine,herbicide
Tetrahydrophthalimide,fungicide
Thiacloprid,neonicotinoid insecticide
Thiamethoxam,neonicotinoid insecticide
Vinclozoline,fungicide
