"","dbt","fp","ihbb","ihh","ihl","ihnb"
"Alachlor",0,-0.292410820153741,0.170971264085955,0,-0.130317112151922,-0.282462911531421
"Anthraquinone",0.124957213257356,0.235559927032234,0,0,0,0
"Atrazine",-0.242606954236699,0.220323831978326,0.801745042811236,0.0511456993876367,0,0.432939531326658
"Bifenthrin",0.203351228375349,0,0,0,0,0
"Biphenyl",-0.278789829811098,0.199507759160832,-0.0123656449598156,-0.301351202390083,-0.0835729850590776,-0.609586254865473
"Carfentrazone.ethyl",0,0,0,0,0,0.319553683788536
"Chlorobenzilate",0,0.211049606822612,0,0,0,0.319553683788535
"cis.Captafol",0.0973244399706335,0,0.554551502685905,0,0,0
"Diazinon",0,0.235443885625418,-0.518618782125213,0,0,0
"Diphenylamine",-0.064922665305676,0.115491316057042,0.816076234753774,-0.343006985507441,-0.0612197283727809,-0.110425217882618
"DMF",0.34810520111927,-0.116951469578349,0.107760936687709,0.541103207939033,0.340022049340274,-0.222724271990931
"Malathion",0.194908562646907,0,0.733230101520046,0.789694879345606,0.0319129096526201,-0.219282478048142
"Metalaxyl",0.236277160232313,0,0,0,0.51887499814321,0.413790854721677
"Metolachlor",0.236982363137413,0.20417366333582,0,0.214967857780102,0,-0.367777448942055
"o.Hydroxybiphenyl",-0.219763493611198,0.167692760989913,0.360686817405196,-0.255213452863274,0.15100694089982,-0.378821648161476
"Penconazole",-0.241779348060724,-0.243726244835623,0,0,0,0.473462209042323
"Procymidone",0.208676418656172,-0.326168726986711,0,0,0,0
"Pyriproxyfen",0.21482792253562,-0.112396570555927,0,0,0,0
"Terbacil",-0.217755486898181,-0.198434032795192,0,0,0,0.319553683788536
"Terbuthylazine",0,0,0,0,0.319553683788535,0.319553683788536
"Tetrahydrophthalimide",0.112897545159681,-0.103559618635389,0.619614067453593,-0.499262430346759,0,-0.430886099319706
"Vinclozoline",-0.134278539496127,0,0,0,0.319553683788536,0.319553683788536
"Dinotefuran",-0.342353959883198,-0.236987113957994,-0.394677429807096,0,0.104902003451908,0.170086149527137
"Nitenpyram",-0.199153248234014,0.282933791677573,-0.014834601954355,0,0,0.282263326825088
"Thiamethoxam",-0.204390616665664,0.314083719154668,0.669414592371447,0.766679466866377,0.420077942165574,0.301177745863255
"Clothianidin",0.0791082487908347,0.229784219743462,0.725172055228962,0.319553683788535,0.319553683788536,-0.0955845337316981
"Imidacloprid",0,0.115564109310652,0.471357970194257,-0.676109535011517,0,0.825084063688153
"Acetamiprid",-0.145021644981297,-0.169487666926154,-0.0306316265351936,-0.673631530167207,0.126974502773629,0.31920585582248
"Thiacloprid",-0.314910575238642,0.0146980643037678,0.281053848379515,0.0312184216795593,0.441336121921241,0.497914372467648
